ÓÒ¹ÉÖ±¼¡	ÓÒ¹É¶þÍ·¼¡	×óëÖÇ°¼¡	ÓÒëÖÇ°¼¡	×óëè³¦¼¡	×ó¹ÉÖ±¼¡	×ó¹É¶þ	ÓÒëè³¦¼¡	
-12.4	-34.5	-123.1	-14.8	-17.3	-44.4	-44.4	-22.2	
-24.7	-32.1	-113.2	-7.5	-17.3	-51.7	-32.1	-34.5	
-19.8	-44.4	-93.6	-14.8	-14.8	-46.8	-19.8	-7.5	
-12.4	-37.0	-64.0	-37.0	-17.3	-49.3	4.8	-19.8	
-17.3	-19.8	-32.1	-29.6	-9.9	-24.7	51.6	12.2	
-19.8	-22.2	-34.5	-27.1	-0.1	-27.1	7.3	12.2	
-5.0	-34.5	-7.5	-39.4	2.4	-9.9	9.8	-29.6	
-0.1	-22.2	34.4	-44.4	2.4	-12.4	12.2	-39.4	
-5.0	-14.8	41.7	-51.7	4.8	-12.4	22.1	-24.7	
4.8	-27.1	51.6	-22.2	9.8	-0.1	2.4	-14.8	
-24.7	-34.5	49.1	-12.4	7.3	4.8	9.8	-5.0	
-14.8	-29.6	44.2	36.8	14.7	17.1	22.1	-7.5	
-34.5	-32.1	41.7	61.4	7.3	22.1	14.7	-22.2	
-32.1	-24.7	14.7	51.6	9.8	12.2	-2.5	-22.2	
-29.6	-9.9	4.8	-17.3	-19.8	7.3	-34.5	-17.3	
-32.1	29.4	-0.1	-93.6	-27.1	-2.5	-27.1	-29.6	
-32.1	27.0	-29.6	-73.9	-24.7	-7.5	-44.4	-19.8	
-41.9	-12.4	-69.0	-46.8	-22.2	-7.5	-46.8	-14.8	
-39.4	-19.8	-69.0	-49.3	-19.8	-12.4	-71.4	-17.3	
-22.2	-22.2	-49.3	-22.2	-2.5	-27.1	-49.3	-12.4	
-29.6	-76.3	-49.3	-14.8	7.3	-37.0	19.6	-12.4	
-12.4	-37.0	-71.4	-12.4	-9.9	-34.5	46.7	-17.3	
-12.4	-51.7	-78.8	-12.4	-27.1	-51.7	-2.5	-29.6	
-17.3	-44.4	-71.4	-2.5	-24.7	-29.6	-9.9	-5.0	
-14.8	12.2	-44.4	-7.5	-12.4	-14.8	-7.5	-7.5	
-19.8	2.4	4.8	-29.6	-2.5	-19.8	-9.9	-7.5	
-14.8	9.8	27.0	-46.8	4.8	-12.4	-7.5	-9.9	
-17.3	29.4	27.0	-37.0	7.3	-9.9	12.2	-9.9	
-22.2	9.8	22.1	-34.5	-5.0	9.8	27.0	-5.0	
