ÓÒ¹ÉÖ±¼¡	ÓÒ¹É¶þÍ·¼¡	×óëÖÇ°¼¡	ÓÒëÖÇ°¼¡	×óëè³¦¼¡	×ó¹ÉÖ±¼¡	×ó¹É¶þ	ÓÒëè³¦¼¡	
-39.4	-19.8	-0.1	-37.0	22.1	-17.3	-19.8	-12.4	
-32.1	-22.2	-32.1	-29.6	-7.5	-22.2	-27.1	-39.4	
-37.0	-24.7	-61.6	-14.8	-59.1	-32.1	-27.1	-44.4	
-46.8	-24.7	-66.5	-17.3	-86.2	-41.9	-41.9	-49.3	
-27.1	7.3	-56.7	-19.8	-29.6	-34.5	-76.3	-59.1	
-17.3	4.8	-54.2	-27.1	-44.4	-39.4	-100.9	41.7	
-24.7	-17.3	-59.1	-34.5	-22.2	-27.1	-113.2	-29.6	
-5.0	-19.8	-66.5	-27.1	-19.8	-32.1	-76.3	-46.8	
4.8	-27.1	-49.3	-32.1	7.3	-29.6	-51.7	-5.0	
4.8	-39.4	-32.1	-37.0	24.5	-22.2	-9.9	41.7	
9.8	-41.9	-29.6	-32.1	7.3	-19.8	51.6	41.7	
7.3	-12.4	-12.4	-32.1	7.3	-7.5	100.8	-19.8	
19.6	-2.5	7.3	-34.5	9.8	-5.0	36.8	-71.4	
9.8	2.4	36.8	-27.1	17.1	-0.1	19.6	-51.7	
-12.4	-19.8	36.8	-7.5	4.8	12.2	17.1	-37.0	
-14.8	-32.1	54.0	-2.5	27.0	9.8	22.1	-19.8	
-19.8	-54.2	51.6	-0.1	39.3	4.8	76.2	-12.4	
-27.1	-32.1	14.7	-0.1	34.4	9.8	51.6	-37.0	
-17.3	-29.6	2.4	-29.6	4.8	-0.1	7.3	-37.0	
-34.5	-14.8	4.8	-22.2	-44.4	-7.5	-9.9	-51.7	
-27.1	-24.7	-5.0	-14.8	-32.1	-9.9	-22.2	-51.7	
-27.1	-27.1	-27.1	-22.2	-44.4	-22.2	-27.1	-32.1	
-24.7	-19.8	-32.1	-22.2	-71.4	-46.8	-37.0	29.4	
-14.8	-24.7	-54.2	-14.8	-108.3	-37.0	-41.9	44.2	
-27.1	-22.2	-51.7	-24.7	-34.5	-44.4	-41.9	4.8	
-14.8	-7.5	-71.4	-9.9	-12.4	-49.3	-29.6	-32.1	
9.8	-0.1	-59.1	-14.8	-34.5	-49.3	-22.2	-32.1	
-7.5	-7.5	-66.5	-27.1	-24.7	-37.0	-17.3	-5.0	
-12.4	-17.3	-32.1	-27.1	27.0	-37.0	-22.2	-0.1	
-5.0	-24.7	-22.2	-14.8	44.2	-29.6	-7.5	19.6	
7.3	-32.1	2.4	-32.1	29.4	-14.8	-0.1	24.5	
2.4	-14.8	24.5	-37.0	24.5	-14.8	-2.5	17.1	
-5.0	7.3	29.4	-41.9	24.5	-17.3	9.8	-27.1	
-2.5	-5.0	27.0	-24.7	49.1	-7.5	34.4	-51.7	
-2.5	2.4	24.5	-34.5	34.4	-5.0	29.4	-34.5	
-17.3	-12.4	44.2	-24.7	12.2	-0.1	34.4	24.5	
-32.1	-37.0	29.4	-32.1	22.1	9.8	29.4	61.4	
-14.8	-24.7	22.1	-37.0	14.7	7.3	4.8	51.6	
-19.8	-17.3	14.7	-24.7	-19.8	-5.0	-5.0	-17.3	
-22.2	-22.2	-2.5	-12.4	-39.4	-2.5	-12.4	-76.3	
-49.3	-7.5	-7.5	-12.4	-39.4	-12.4	-17.3	-46.8	
-44.4	-2.5	-22.2	-24.7	-71.4	-17.3	-27.1	-56.7	
-29.6	-0.1	-54.2	-14.8	-100.9	-32.1	-32.1	-81.3	
-22.2	-2.5	-56.7	-14.8	-162.4	-32.1	-37.0	-78.8	
-19.8	-5.0	-64.0	-9.9	-142.8	-39.4	-51.7	-49.3	
-27.1	-12.4	-46.8	-24.7	-61.6	-46.8	-49.3	-39.4	
-14.8	-24.7	-49.3	-22.2	-2.5	-51.7	-34.5	-34.5	
-17.3	-32.1	-39.4	-44.4	78.6	-51.7	-24.7	14.7	
-5.0	-44.4	-24.7	-41.9	61.4	-32.1	-19.8	27.0	
-0.1	-34.5	-44.4	-49.3	36.8	-27.1	-12.4	4.8	
-0.1	-29.6	-59.1	-44.4	41.7	-14.8	2.4	-5.0	
-2.5	-17.3	-2.5	-39.4	27.0	-12.4	2.4	4.8	
-2.5	-17.3	27.0	-27.1	9.8	-2.5	9.8	27.0	
-5.0	-29.6	31.9	-14.8	-7.5	4.8	22.1	36.8	
-9.9	-37.0	12.2	-14.8	-7.5	2.4	24.5	29.4	
-24.7	-22.2	41.7	-17.3	51.6	14.7	14.7	-9.9	
-34.5	-29.6	31.9	-29.6	71.3	9.8	4.8	7.3	
-37.0	-7.5	36.8	-29.6	24.5	4.8	-0.1	7.3	
-27.1	-17.3	34.4	-22.2	-2.5	7.3	-9.9	-0.1	
-34.5	-24.7	12.2	-17.3	-5.0	-5.0	-14.8	-7.5	
-54.2	-27.1	-14.8	-24.7	-12.4	-12.4	-32.1	-34.5	
-44.4	-24.7	-69.0	-14.8	-27.1	-27.1	-39.4	-0.1	
-51.7	-14.8	-59.1	-22.2	-46.8	-32.1	-39.4	14.7	
-37.0	-2.5	-54.2	-17.3	-59.1	-34.5	-49.3	-0.1	
-37.0	2.4	-59.1	-17.3	-39.4	-27.1	-61.6	-54.2	
-24.7	-2.5	-64.0	-22.2	-9.9	-44.4	-49.3	-66.5	
-22.2	-5.0	-91.1	-22.2	-0.1	-46.8	-51.7	-32.1	
-29.6	-12.4	-66.5	-9.9	-29.6	-34.5	-29.6	-12.4	
-9.9	-27.1	-59.1	-27.1	-49.3	-39.4	-19.8	-2.5	
-17.3	-27.1	-24.7	-17.3	-39.4	-19.8	-7.5	-17.3	
-12.4	-17.3	27.0	-7.5	17.1	-17.3	7.3	-0.1	
-5.0	-27.1	-7.5	-0.1	54.0	-5.0	2.4	-19.8	
2.4	-32.1	-0.1	-0.1	66.3	4.8	14.7	-29.6	
-14.8	-34.5	24.5	-9.9	95.9	7.3	14.7	-27.1	
-29.6	-32.1	41.7	-27.1	56.5	12.2	14.7	-22.2	
-27.1	-19.8	46.7	-41.9	27.0	12.2	17.1	22.1	
-34.5	-12.4	46.7	-34.5	-5.0	14.7	7.3	-14.8	
-41.9	-17.3	41.7	-34.5	-17.3	9.8	-5.0	-24.7	
-32.1	-17.3	-2.5	-24.7	-27.1	-0.1	-17.3	-34.5	
-37.0	-14.8	-44.4	-27.1	-51.7	2.4	-27.1	-17.3	
-44.4	-22.2	-46.8	-12.4	-51.7	-7.5	-19.8	-37.0	
-32.1	-22.2	-34.5	-34.5	-37.0	-32.1	-19.8	-32.1	
-39.4	-22.2	-32.1	-32.1	-64.0	-24.7	-24.7	-22.2	
-32.1	-24.7	-51.7	-24.7	-108.3	-27.1	-37.0	-34.5	
-24.7	-14.8	-83.7	-17.3	-78.8	-41.9	-54.2	-37.0	
-19.8	-5.0	-54.2	-37.0	-2.5	-41.9	-27.1	-14.8	
-17.3	-17.3	-19.8	-22.2	-2.5	-22.2	-34.5	-17.3	
-12.4	-12.4	-27.1	-9.9	-32.1	-14.8	-24.7	-7.5	
-22.2	-32.1	-27.1	-2.5	-37.0	-24.7	-7.5	-24.7	
