时间,设备名称,片上时间(),加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),四元数0(),四元数1(),四元数2(),四元数3()
 11:23:17.884,e8:9e:2c:53:09:e3, 2024-07-06 21:57:22:805, 0.973, -0.03, -0.176, 0.305, 0.977, 0.732, -160.406, -80.601, -53.459, -41.783, -44.500, 45.733, 29.05, -0.16776, -0.72177, 0.2356, -0.62872,
 11:23:17.959,e8:9e:2c:53:09:e3, 2024-07-06 21:57:22:905, 0.972, -0.031, -0.175, 0.122, 1.099, 0.366, -160.494, -80.618, -53.91, -41.842, -44.367, 45.775, 29.05, -0.16776, -0.72177, 0.2356, -0.62872,
 11:23:18.079,e8:9e:2c:53:09:e3, 2024-07-06 21:57:23:005, 0.971, -0.026, -0.175, 0.244, 1.221, 0.427, -160.67, -80.656, -54.316, -41.842, -44.367, 45.775, 29.05, -0.17685, -0.71838, 0.24588, -0.62616,
 11:23:18.168,e8:9e:2c:53:09:e3, 2024-07-06 21:57:23:105, 0.97, -0.029, -0.172, 1.038, 1.221, 0.61, -160.741, -80.695, -54.833, -41.842, -44.367, 45.775, 29.05, -0.17685, -0.71838, 0.24588, -0.62616,
 11:23:18.289,e8:9e:2c:53:09:e3, 2024-07-06 21:57:23:205, 0.973, -0.026, -0.172, 1.526, 0.977, 1.221, -160.532, -80.711, -55.497, -41.808, -44.550, 45.442, 29.05, -0.18484, -0.71457, 0.25571, -0.62427,
 11:23:18.365,e8:9e:2c:53:09:e3, 2024-07-06 21:57:23:305, 0.971, -0.032, -0.175, 2.258, 0.732, 1.465, -160.016, -80.678, -56.475, -41.808, -44.550, 45.442, 29.05, -0.18484, -0.71457, 0.25571, -0.62427,
 11:23:18.484,e8:9e:2c:53:09:e3, 2024-07-06 21:57:23:405, 0.971, -0.03, -0.175, 2.747, 0.916, 1.038, -159.576, -80.656, -57.283, -41.808, -44.550, 45.442, 29.05, -0.18484, -0.71457, 0.25571, -0.62427,
 11:23:18.574,e8:9e:2c:53:09:e3, 2024-07-06 21:57:23:505, 0.973, -0.034, -0.175, 2.197, 0.854, 1.343, -159.093, -80.64, -58.123, -41.808, -44.550, 45.442, 29.05, -0.18484, -0.71457, 0.25571, -0.62427,
 11:23:18.693,e8:9e:2c:53:09:e3, 2024-07-06 21:57:23:605, 0.973, -0.032, -0.174, 2.38, 0.854, 1.587, -158.533, -80.623, -59.095, -41.858, -44.125, 45.917, 29.05, -0.19052, -0.71066, 0.26593, -0.62277,
 11:23:18.768,e8:9e:2c:53:09:e3, 2024-07-06 21:57:23:705, 0.971, -0.04, -0.176, 2.808, 0.854, 0.977, -157.95, -80.579, -60.046, -41.858, -44.125, 45.917, 29.05, -0.19052, -0.71066, 0.26593, -0.62277,
 11:23:18.889,e8:9e:2c:53:09:e3, 2024-07-06 21:57:23:805, 0.97, -0.039, -0.173, 2.319, 1.282, 0.244, -157.802, -80.618, -60.551, -42.058, -43.725, 45.750, 29.05, -0.19489, -0.70819, 0.27151, -0.6218,
 11:23:18.963,e8:9e:2c:53:09:e3, 2024-07-06 21:57:23:905, 0.976, -0.036, -0.174, 1.892, 0.732, 0.732, -157.725, -80.623, -60.996, -42.058, -43.725, 45.750, 29.05, -0.19489, -0.70819, 0.27151, -0.6218,
 11:23:19.084,e8:9e:2c:53:09:e3, 2024-07-06 21:57:24:005, 0.971, -0.036, -0.177, 0.61, 0.732, 0.916, -157.588, -80.607, -61.622, -42.058, -43.725, 45.750, 29.05, -0.19489, -0.70819, 0.27151, -0.6218,
 11:23:19.174,e8:9e:2c:53:09:e3, 2024-07-06 21:57:24:105, 0.973, -0.035, -0.173, 0.122, 0.488, 0.549, -157.659, -80.59, -62.1, -41.858, -43.700, 45.583, 29.05, -0.19489, -0.70819, 0.27151, -0.6218,
 11:23:19.294,e8:9e:2c:53:09:e3, 2024-07-06 21:57:24:205, 0.973, -0.037, -0.171, 0.366, 0.244, 0.671, -157.813, -80.546, -62.463, -41.858, -43.700, 45.583, 29.05, -0.20312, -0.70474, 0.28152, -0.61865,
 11:23:19.384,e8:9e:2c:53:09:e3, 2024-07-06 21:57:24:305, 0.971, -0.038, -0.177, 1.343, 0.427, 0.122, -158.044, -80.502, -62.644, -41.858, -43.700, 45.583, 29.05, -0.20312, -0.70474, 0.28152, -0.61865,
 11:23:19.505,e8:9e:2c:53:09:e3, 2024-07-06 21:57:24:405, 0.97, -0.036, -0.177, 1.038, 0.122, 0.427, -158.258, -80.464, -62.869, -41.858, -43.817, 45.742, 29.05, -0.20959, -0.70267, 0.28906, -0.61536,
 11:23:19.610,e8:9e:2c:53:09:e3, 2024-07-06 21:57:24:505, 0.971, -0.034, -0.178, 0.977, 0.366, 0.488, -158.472, -80.409, -63.083, -41.858, -43.817, 45.742, 29.05, -0.20959, -0.70267, 0.28906, -0.61536,
 11:23:19.699,e8:9e:2c:53:09:e3, 2024-07-06 21:57:24:605, 0.97, -0.035, -0.179, 1.16, 0.244, 0.305, -158.719, -80.365, -63.248, -41.667, -43.883, 46.025, 29.05, -0.20959, -0.70267, 0.28906, -0.61536,
 11:23:19.773,e8:9e:2c:53:09:e3, 2024-07-06 21:57:24:705, 0.968, -0.036, -0.182, 0.061, 0, 0.793, -158.989, -80.294, -63.517, -41.667, -43.883, 46.025, 29.05, -0.21561, -0.70074, 0.29617, -0.61209,
 11:23:19.894,e8:9e:2c:53:09:e3, 2024-07-06 21:57:24:805, 0.969, -0.036, -0.182, 1.038, 0.305, -0.061, -159.395, -80.233, -63.704, -41.667, -43.883, 46.025, 29.05, -0.21561, -0.70074, 0.29617, -0.61209,
 11:23:19.970,e8:9e:2c:53:09:e3, 2024-07-06 21:57:24:905, 0.97, -0.03, -0.182, 1.343, 0.427, 0.61, -159.697, -80.211, -63.842, -41.550, -44.158, 46.000, 29.05, -0.21561, -0.70074, 0.29617, -0.61209,
 11:23:20.107,e8:9e:2c:53:09:e3, 2024-07-06 21:57:25:005, 0.966, -0.036, -0.185, 2.136, 0.427, 0.488, -159.664, -80.167, -64.259, -41.550, -44.158, 46.000, 29.05, -0.2226, -0.69818, 0.30411, -0.60858,
 11:23:20.179,e8:9e:2c:53:09:e3, 2024-07-06 21:57:25:105, 0.968, -0.036, -0.183, 3.113, 0.488, 0.183, -159.714, -80.14, -64.512, -41.550, -44.158, 46.000, 29.05, -0.2226, -0.69818, 0.30411, -0.60858,
 11:23:20.299,e8:9e:2c:53:09:e3, 2024-07-06 21:57:25:205, 0.973, -0.028, -0.189, 2.441, 1.038, 0.671, -159.785, -80.134, -64.655, -41.367, -43.925, 46.342, 29.05, -0.22675, -0.69598, 0.30939, -0.6069,
 11:23:20.375,e8:9e:2c:53:09:e3, 2024-07-06 21:57:25:305, 0.971, -0.034, -0.185, 2.808, 1.038, 1.099, -159.439, -80.14, -65.352, -41.367, -43.925, 46.342, 29.05, -0.22675, -0.69598, 0.30939, -0.6069,
 11:23:20.493,e8:9e:2c:53:09:e3, 2024-07-06 21:57:25:405, 0.97, -0.041, -0.182, 2.075, 0.916, 1.587, -158.774, -80.123, -66.462, -41.367, -43.925, 46.342, 29.05, -0.22675, -0.69598, 0.30939, -0.6069,
 11:23:20.585,e8:9e:2c:53:09:e3, 2024-07-06 21:57:25:505, 0.968, -0.036, -0.185, 2.808, 1.221, -0.244, -158.604, -80.14, -66.907, -41.550, -43.525, 46.517, 29.05, -0.22675, -0.69598, 0.30939, -0.6069,
 11:23:20.704,e8:9e:2c:53:09:e3, 2024-07-06 21:57:25:605, 0.968, -0.033, -0.18, 0.244, 2.075, -0.061, -158.835, -80.239, -67.039, -41.550, -43.525, 46.517, 29.05, -0.23239, -0.69217, 0.31619, -0.60565,
 11:23:20.779,e8:9e:2c:53:09:e3, 2024-07-06 21:57:25:705, 0.969, -0.031, -0.185, 1.099, 2.014, 0.488, -158.846, -80.332, -67.462, -41.550, -43.525, 46.517, 29.05, -0.23239, -0.69217, 0.31619, -0.60565,
