时间,设备名称,片上时间(),加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),四元数0(),四元数1(),四元数2(),四元数3()
 11:16:45.555,e8:9e:2c:53:09:e3, 2024-07-06 21:50:53:305, 0.967, -0.03, -0.198, 1.526, 1.038, 1.221, -161.521, -79.552, -62.095, -35.808, -53.175, 36.517, 30.01, 0.21985, 0.70294, -0.30298, 0.60468,
 11:16:45.674,e8:9e:2c:53:09:e3, 2024-07-06 21:50:53:405, 0.967, -0.032, -0.195, 1.343, 1.282, 0.732, -161.301, -79.568, -62.699, -35.808, -53.175, 36.517, 30.01, 0.21985, 0.70294, -0.30298, 0.60468,
 11:16:45.749,e8:9e:2c:53:09:e3, 2024-07-06 21:50:53:505, 0.968, -0.031, -0.193, 0.549, 1.404, 0.793, -161.197, -79.601, -63.177, -36.000, -53.075, 36.467, 30.01, 0.21985, 0.70294, -0.30298, 0.60468,
 11:16:45.854,e8:9e:2c:53:09:e3, 2024-07-06 21:50:53:605, 0.968, -0.033, -0.193, 1.16, 0.977, 0.854, -161.076, -79.607, -63.693, -36.000, -53.075, 36.467, 30.01, 0.22617, 0.69904, -0.31076, 0.60291,
 11:16:45.930,e8:9e:2c:53:09:e3, 2024-07-06 21:50:53:705, 0.966, -0.033, -0.192, -0.061, 1.099, 0.854, -161.01, -79.618, -64.188, -36.000, -53.075, 36.467, 30.01, 0.22617, 0.69904, -0.31076, 0.60291,
 11:16:46.051,e8:9e:2c:53:09:e3, 2024-07-06 21:50:53:805, 0.967, -0.034, -0.192, 0.61, 0.916, 1.16, -160.845, -79.601, -64.792, -36.100, -53.158, 36.433, 30.01, 0.22617, 0.69904, -0.31076, 0.60291,
 11:16:46.126,e8:9e:2c:53:09:e3, 2024-07-06 21:50:53:905, 0.967, -0.033, -0.194, 1.282, 0.977, 0.732, -160.719, -79.59, -65.281, -36.100, -53.158, 36.433, 30.01, 0.23199, 0.69562, -0.3183, 0.60071,
 11:16:46.259,e8:9e:2c:53:09:e3, 2024-07-06 21:50:54:005, 0.966, -0.034, -0.195, 0.61, 0.793, 1.16, -160.642, -79.579, -65.753, -36.100, -53.158, 36.433, 30.01, 0.23199, 0.69562, -0.3183, 0.60071,
 11:16:46.336,e8:9e:2c:53:09:e3, 2024-07-06 21:50:54:105, 0.967, -0.035, -0.195, 1.099, 0.977, 0.977, -160.466, -79.557, -66.363, -36.250, -53.108, 36.425, 30.01, 0.23199, 0.69562, -0.3183, 0.60071,
 11:16:46.440,e8:9e:2c:53:09:e3, 2024-07-06 21:50:54:205, 0.967, -0.036, -0.193, 1.282, 1.099, 0.427, -160.422, -79.574, -66.808, -36.250, -53.108, 36.425, 30.01, 0.23892, 0.69156, -0.32687, 0.59808,
 11:16:46.529,e8:9e:2c:53:09:e3, 2024-07-06 21:50:54:305, 0.967, -0.033, -0.193, 1.587, 0.854, 0.671, -160.411, -79.585, -67.165, -36.250, -53.108, 36.425, 30.01, 0.23892, 0.69156, -0.32687, 0.59808,
